"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców wpisanych z urzędu";"Liczba wyborców wpisanych na wniosek";"Informacja o liczbie wyborców wpisanych ogółem (art. 19) w części A";"Informacja o liczbie wyborców wpisanych § 1 (Z2A)";"Informacja o liczbie wyborców wpisanych § 2 (Z2B)";"Informacja o liczbie wyborców wpisanych § 3 (Z2C)";"Informacja o liczbie wyborców wpisanych w części B (ZUE)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 1) w części A ogółem";"Informacja o liczbie wyborców skreślonych w części A pkt 1 (R41)";"Informacja o liczbie wyborców skreślonych w części A pkt 2 (R42)";"Informacja o liczbie wyborców skreślonych w części A pkt 3 (R43)";"Informacja o liczbie wyborców skreślonych (§ 6 ust. 2) w części A (R41b)";"Informacja o liczbie wyborców skreślonych w części B ogółem (RUE)"
"=""040203""";"gm. Brodnica";"brodnicki";"Toruń";8433;6406;6399;7;7;7;0;0;0;59;20;39;0;0;0
"=""040204""";"gm. Brzozie";"brodnicki";"Toruń";3858;2939;2922;17;17;16;0;1;0;18;7;10;1;0;0
"=""040205""";"gm. Górzno";"brodnicki";"Toruń";3938;3138;3090;48;48;46;1;1;0;28;6;21;1;0;0
"=""040206""";"gm. Bartniczka";"brodnicki";"Toruń";4721;3641;3632;9;9;7;0;2;0;41;10;29;2;0;0
"=""040207""";"gm. Jabłonowo Pomorskie";"brodnicki";"Toruń";8883;7086;7053;33;33;24;0;9;0;100;22;69;9;0;0
"=""040208""";"gm. Osiek";"brodnicki";"Toruń";4021;3163;3144;19;19;16;2;1;0;24;11;12;1;0;0
"=""040209""";"gm. Świedziebnia";"brodnicki";"Toruń";5265;4108;4094;14;14;9;0;5;0;31;15;11;5;0;0
"=""040210""";"gm. Zbiczno";"brodnicki";"Toruń";4920;3881;3810;71;71;65;0;6;0;38;5;27;6;0;0
"Powiat bydgoski";"";"";"";113732;89198;88379;819;815;644;58;113;4;899;357;429;113;0;0
"=""040301""";"gm. Białe Błota";"bydgoski";"Bydgoszcz";21233;16233;16108;125;124;116;0;8;1;139;41;90;8;0;0
"=""040302""";"gm. Dąbrowa Chełmińska";"bydgoski";"Bydgoszcz";8198;6455;6418;37;37;26;0;11;0;42;13;18;11;0;0
"=""040303""";"gm. Dobrcz";"bydgoski";"Bydgoszcz";11549;9017;8842;175;174;150;17;7;1;63;22;34;7;0;0
"=""040304""";"gm. Koronowo";"bydgoski";"Bydgoszcz";23204;18469;18352;117;117;82;0;35;0;226;118;73;35;0;0
"=""040305""";"gm. Nowa Wieś Wielka";"bydgoski";"Bydgoszcz";9824;7848;7755;93;93;78;8;7;0;54;14;33;7;0;0
"=""040306""";"gm. Osielsko";"bydgoski";"Bydgoszcz";14071;10725;10599;126;126;85;29;12;0;177;72;93;12;0;0
"=""040307""";"gm. Sicienko";"bydgoski";"Bydgoszcz";9947;7805;7702;103;101;83;2;16;2;84;38;30;16;0;0
"=""040308""";"gm. Solec Kujawski";"bydgoski";"Bydgoszcz";15706;12646;12603;43;43;24;2;17;0;114;39;58;17;0;0
"Powiat chełmiński";"";"";"";49427;39662;39300;362;361;232;2;127;1;591;229;235;127;0;0
"=""040401""";"m. Chełmno";"chełmiński";"Toruń";17691;14717;14507;210;209;109;0;100;1;326;117;109;100;0;0
"=""040402""";"gm. Chełmno";"chełmiński";"Toruń";5979;4618;4601;17;17;16;1;0;0;23;7;16;0;0;0
"=""040403""";"gm. Kijewo Królewskie";"chełmiński";"Toruń";4500;3513;3501;12;12;11;0;1;0;25;7;17;1;0;0
"=""040404""";"gm. Lisewo";"chełmiński";"Toruń";5072;3987;3940;47;47;34;0;13;0;108;69;26;13;0;0
"=""040405""";"gm. Papowo Biskupie";"chełmiński";"Toruń";4326;3404;3384;20;20;18;0;2;0;33;11;20;2;0;0
"=""040406""";"gm. Stolno";"chełmiński";"Toruń";5180;4085;4063;22;22;21;1;0;0;31;12;19;0;0;0
"=""040407""";"gm. Unisław";"chełmiński";"Toruń";6679;5338;5304;34;34;23;0;11;0;45;6;28;11;0;0
"Powiat golubsko-dobrzyński";"";"";"";44729;35789;35445;344;344;262;7;75;0;404;101;228;75;0;0
"=""040501""";"m. Golub-Dobrzyń";"golubsko-dobrzyński";"Toruń";11757;9582;9466;116;116;63;6;47;0;155;30;78;47;0;0
"=""040502""";"gm. Ciechocin";"golubsko-dobrzyński";"Toruń";4065;3237;3216;21;21;21;0;0;0;29;11;18;0;0;0
"=""040503""";"gm. Golub-Dobrzyń";"golubsko-dobrzyński";"Toruń";9011;7113;7047;66;66;66;0;0;0;70;13;57;0;0;0
"=""040504""";"gm. Kowalewo Pomorskie";"golubsko-dobrzyński";"Toruń";11317;9036;8976;60;60;42;0;18;0;82;33;31;18;0;0
"=""040505""";"gm. Radomin";"golubsko-dobrzyński";"Toruń";4119;3301;3250;51;51;42;1;8;0;33;5;20;8;0;0
"=""040506""";"gm. Zbójno";"golubsko-dobrzyński";"Toruń";4460;3520;3490;30;30;28;0;2;0;35;9;24;2;0;0
"Powiat grudziądzki";"";"";"";39900;31235;31051;184;183;141;4;38;1;276;74;164;38;0;0
"=""040601""";"gm. Grudziądz";"grudziądzki";"Toruń";12464;9661;9607;54;54;47;1;6;0;100;27;67;6;0;0
"=""040602""";"gm. Gruta";"grudziądzki";"Toruń";6456;5094;5060;34;33;31;0;2;1;33;10;21;2;0;0
"=""040603""";"gm. Łasin";"grudziądzki";"Toruń";7783;6180;6132;48;48;25;2;21;0;63;10;32;21;0;0
"=""040604""";"gm. Radzyń Chełmiński";"grudziądzki";"Toruń";4656;3727;3707;20;20;15;0;5;0;26;9;12;5;0;0
"=""040605""";"gm. Rogóźno";"grudziądzki";"Toruń";4201;3233;3221;12;12;9;0;3;0;33;11;19;3;0;0
"=""040606""";"gm. Świecie nad Osą";"grudziądzki";"Toruń";4340;3340;3324;16;16;14;1;1;0;21;7;13;1;0;0
"Powiat inowrocławski";"";"";"";152967;126079;125506;573;570;331;15;224;3;1409;486;699;224;0;0
"=""040701""";"m. Inowrocław";"inowrocławski";"Bydgoszcz";67512;56652;56435;217;217;120;0;97;0;646;163;386;97;0;0
"=""040702""";"gm. Dąbrowa Biskupia";"inowrocławski";"Bydgoszcz";5059;4020;4013;7;7;7;0;0;0;60;40;20;0;0;0
"=""040703""";"gm. Gniewkowo";"inowrocławski";"Bydgoszcz";13889;11231;11137;94;93;37;2;54;1;169;69;46;54;0;0
"=""040704""";"gm. Inowrocław";"inowrocławski";"Bydgoszcz";11725;9482;9441;41;41;31;1;9;0;64;18;37;9;0;0
"=""040705""";"gm. Janikowo";"inowrocławski";"Bydgoszcz";12887;10600;10577;23;23;9;5;9;0;115;56;50;9;0;0
"=""040706""";"gm. Kruszwica";"inowrocławski";"Bydgoszcz";18667;15335;15263;72;71;46;1;24;1;184;85;75;24;0;0
"=""040707""";"gm. Pakość";"inowrocławski";"Bydgoszcz";9635;7800;7770;30;30;18;1;11;0;73;25;37;11;0;0
"=""040708""";"gm. Rojewo";"inowrocławski";"Bydgoszcz";4614;3679;3639;40;40;35;4;1;0;29;13;15;1;0;0
"=""040709""";"gm. Złotniki Kujawskie";"inowrocławski";"Bydgoszcz";8979;7280;7231;49;48;28;1;19;1;69;17;33;19;0;0
"Powiat lipnowski";"";"";"";64964;52053;51495;558;556;348;27;181;2;762;191;390;181;0;0
"=""040801""";"m. Lipno";"lipnowski";"Włocławek";13478;11107;10995;112;112;55;0;57;0;187;28;102;57;0;0
"=""040802""";"gm. Bobrowniki";"lipnowski";"Włocławek";3098;2478;2428;50;50;36;9;5;0;28;7;16;5;0;0
"=""040803""";"gm. Chrostkowo";"lipnowski";"Włocławek";2944;2390;2356;34;34;33;0;1;0;16;0;15;1;0;0
"=""040804""";"gm. Dobrzyń nad Wisłą";"lipnowski";"Włocławek";7638;6211;6159;52;52;33;0;19;0;66;9;38;19;0;0
"=""040805""";"gm. Kikół";"lipnowski";"Włocławek";7080;5645;5596;49;49;38;3;8;0;63;10;45;8;0;0
"=""040806""";"gm. Lipno";"lipnowski";"Włocławek";11740;9252;9177;75;75;49;4;22;0;109;22;65;22;0;0
"=""040807""";"gm. Skępe";"lipnowski";"Włocławek";7500;6003;5938;65;64;31;7;26;1;107;19;62;26;0;0
"=""040808""";"gm. Tłuchowo";"lipnowski";"Włocławek";4672;3684;3628;56;56;42;1;13;0;41;7;21;13;0;0
"=""040809""";"gm. Wielgie";"lipnowski";"Włocławek";6814;5283;5218;65;64;31;3;30;1;145;89;26;30;0;0
"Powiat mogileński";"";"";"";45131;36643;36496;147;146;101;7;38;1;407;177;192;38;0;0
"=""040901""";"gm. Dąbrowa";"mogileński";"Bydgoszcz";4595;3679;3667;12;11;10;0;1;1;21;7;13;1;0;0
"=""040902""";"gm. Jeziora Wielkie";"mogileński";"Bydgoszcz";4830;3854;3837;17;17;15;0;2;0;126;95;29;2;0;0
"=""040903""";"gm. Mogilno";"mogileński";"Bydgoszcz";24293;19814;19708;106;106;66;5;35;0;178;49;94;35;0;0
"=""040904""";"gm. Strzelno";"mogileński";"Bydgoszcz";11413;9296;9284;12;12;10;2;0;0;82;26;56;0;0;0
"Powiat nakielski";"";"";"";83236;66214;65861;353;352;219;0;133;1;680;253;294;133;0;0
"=""041001""";"gm. Kcynia";"nakielski";"Bydgoszcz";13077;10469;10420;49;49;34;0;15;0;107;34;58;15;0;0
"=""041002""";"gm. Mrocza";"nakielski";"Bydgoszcz";9017;7061;7035;26;25;16;0;9;1;64;26;29;9;0;0
"=""041003""";"gm. Nakło nad Notecią";"nakielski";"Bydgoszcz";30086;24212;24091;121;121;53;0;68;0;291;107;116;68;0;0
"=""041004""";"gm. Sadki";"nakielski";"Bydgoszcz";7182;5628;5615;13;13;10;0;3;0;37;16;18;3;0;0
"=""041005""";"gm. Szubin";"nakielski";"Bydgoszcz";23874;18844;18700;144;144;106;0;38;0;181;70;73;38;0;0
"Powiat radziejowski";"";"";"";40556;33442;33184;258;258;186;19;53;0;335;74;208;53;0;0
"=""041101""";"m. Radziejów";"radziejowski";"Włocławek";5344;4515;4491;24;24;16;0;8;0;59;11;40;8;0;0
"=""041102""";"gm. Bytoń";"radziejowski";"Włocławek";3570;2919;2872;47;47;38;4;5;0;27;5;17;5;0;0
"=""041103""";"gm. Dobre";"radziejowski";"Włocławek";5276;4402;4385;17;17;13;0;4;0;37;7;26;4;0;0
"=""041104""";"gm. Osięciny";"radziejowski";"Włocławek";7714;6352;6303;49;49;36;0;13;0;58;12;33;13;0;0
"=""041105""";"gm. Piotrków Kujawski";"radziejowski";"Włocławek";9290;7612;7557;55;55;34;8;13;0;80;20;47;13;0;0
"=""041106""";"gm. Radziejów";"radziejowski";"Włocławek";4439;3591;3581;10;10;7;0;3;0;31;7;21;3;0;0
"=""041107""";"gm. Topólka";"radziejowski";"Włocławek";4923;4051;3995;56;56;42;7;7;0;43;12;24;7;0;0
"Powiat rypiński";"";"";"";43126;34705;34494;211;211;163;4;44;0;416;89;283;44;0;0
"=""041201""";"m. Rypin";"rypiński";"Włocławek";15651;12756;12697;59;59;38;1;20;0;174;30;124;20;0;0
"=""041202""";"gm. Brzuze";"rypiński";"Włocławek";5310;4244;4201;43;43;34;1;8;0;54;12;34;8;0;0
"=""041203""";"gm. Rogowo";"rypiński";"Włocławek";4757;3802;3768;34;34;31;0;3;0;43;11;29;3;0;0
"=""041204""";"gm. Rypin";"rypiński";"Włocławek";7514;5928;5885;43;43;31;0;12;0;72;17;43;12;0;0
"=""041205""";"gm. Skrwilno";"rypiński";"Włocławek";5886;4731;4720;11;11;10;0;1;0;55;12;42;1;0;0
"=""041206""";"gm. Wąpielsk";"rypiński";"Włocławek";4008;3244;3223;21;21;19;2;0;0;18;7;11;0;0;0
"Powiat sępoleński";"";"";"";40460;32036;31808;228;228;154;2;72;0;491;234;185;72;0;0
"=""041301""";"gm. Kamień Krajeński";"sępoleński";"Bydgoszcz";6967;5423;5377;46;46;39;0;7;0;108;63;38;7;0;0
"=""041302""";"gm. Sępólno Krajeńskie";"sępoleński";"Bydgoszcz";15491;12399;12321;78;78;41;1;36;0;162;41;85;36;0;0
"=""041303""";"gm. Sośno";"sępoleński";"Bydgoszcz";4996;3909;3884;25;25;21;1;3;0;38;21;14;3;0;0
"=""041304""";"gm. Więcbork";"sępoleński";"Bydgoszcz";13006;10305;10226;79;79;53;0;26;0;183;109;48;26;0;0
"Powiat świecki";"";"";"";94918;75899;75444;455;454;316;28;110;1;723;242;371;110;0;0
"=""041401""";"gm. Bukowiec";"świecki";"Bydgoszcz";5039;3928;3900;28;28;19;0;9;0;33;15;9;9;0;0
"=""041402""";"gm. Dragacz";"świecki";"Bydgoszcz";7011;5555;5493;62;62;47;5;10;0;62;18;34;10;0;0
"=""041403""";"gm. Drzycim";"świecki";"Bydgoszcz";4933;3910;3873;37;37;29;3;5;0;35;12;18;5;0;0
"=""041404""";"gm. Jeżewo";"świecki";"Bydgoszcz";7921;6204;6182;22;22;19;0;3;0;55;12;40;3;0;0
"=""041405""";"gm. Lniano";"świecki";"Bydgoszcz";4257;3331;3305;26;26;21;2;3;0;31;11;17;3;0;0
"=""041406""";"gm. Nowe";"świecki";"Bydgoszcz";9832;7996;7958;38;38;13;5;20;0;72;20;32;20;0;0
"=""041407""";"gm. Osie";"świecki";"Bydgoszcz";5483;4351;4315;36;36;28;0;8;0;42;13;21;8;0;0
"=""041408""";"gm. Pruszcz";"świecki";"Bydgoszcz";9327;7409;7330;79;79;61;7;11;0;97;59;27;11;0;0
"=""041409""";"gm. Świecie";"świecki";"Bydgoszcz";31253;25358;25315;43;43;10;5;28;0;226;63;135;28;0;0
"=""041410""";"gm. Świekatowo";"świecki";"Bydgoszcz";3566;2871;2839;32;31;28;0;3;1;23;6;14;3;0;0
"=""041411""";"gm. Warlubie";"świecki";"Bydgoszcz";6296;4986;4934;52;52;41;1;10;0;47;13;24;10;0;0
"Powiat toruński";"";"";"";105333;81615;80766;849;847;719;25;103;2;756;234;419;103;0;0
"=""041501""";"m. Chełmża";"toruński";"Toruń";13447;10929;10864;65;65;45;0;20;0;114;23;71;20;0;0
"=""041502""";"gm. Chełmża";"toruński";"Toruń";9643;7609;7540;69;69;63;0;6;0;68;28;34;6;0;0
"=""041503""";"gm. Czernikowo";"toruński";"Toruń";9119;7095;6947;148;148;124;1;23;0;83;23;37;23;0;0
"=""041504""";"gm. Lubicz";"toruński";"Toruń";19542;15165;15063;102;102;97;1;4;0;130;36;90;4;0;0
"=""041505""";"gm. Łubianka";"toruński";"Toruń";7226;5496;5446;50;50;45;3;2;0;55;33;20;2;0;0
"=""041506""";"gm. Łysomice";"toruński";"Toruń";10106;7821;7720;101;101;90;0;11;0;60;11;38;11;0;0
"=""041507""";"gm. Obrowo";"toruński";"Toruń";17206;12927;12736;191;191;147;17;27;0;117;35;55;27;0;0
"=""041508""";"gm. Wielka Nieszawka";"toruński";"Toruń";5033;3838;3794;44;43;34;3;6;1;46;11;29;6;0;0
"=""041509""";"gm. Zławieś Wielka";"toruński";"Toruń";14011;10735;10656;79;78;74;0;4;1;83;34;45;4;0;0
"Powiat tucholski";"";"";"";47510;37637;37351;286;281;189;11;81;5;436;134;221;81;0;0
"=""041601""";"gm. Cekcyn";"tucholski";"Bydgoszcz";6837;5313;5258;55;52;48;0;4;3;53;19;30;4;0;0
"=""041602""";"gm. Gostycyn";"tucholski";"Bydgoszcz";5198;4091;4068;23;23;16;0;7;0;45;11;27;7;0;0
"=""041603""";"gm. Kęsowo";"tucholski";"Bydgoszcz";4510;3528;3516;12;12;9;0;3;0;30;16;11;3;0;0
"=""041604""";"gm. Lubiewo";"tucholski";"Bydgoszcz";6034;4693;4657;36;36;26;4;6;0;48;16;26;6;0;0
"=""041605""";"gm. Śliwice";"tucholski";"Bydgoszcz";5546;4381;4337;44;43;37;0;6;1;41;10;25;6;0;0
"=""041606""";"gm. Tuchola";"tucholski";"Bydgoszcz";19385;15631;15515;116;115;53;7;55;1;219;62;102;55;0;0
"Powiat wąbrzeski";"";"";"";33302;26824;26666;158;158;107;4;47;0;309;94;168;47;0;0
"=""041701""";"m. Wąbrzeźno";"wąbrzeski";"Toruń";12546;10358;10251;107;107;67;3;37;0;154;56;61;37;0;0
"=""041702""";"gm. Dębowa Łąka";"wąbrzeski";"Toruń";3233;2550;2547;3;3;2;0;1;0;32;4;27;1;0;0
"=""041703""";"gm. Książki";"wąbrzeski";"Toruń";4144;3341;3325;16;16;14;1;1;0;22;7;14;1;0;0
"=""041704""";"gm. Płużnica";"wąbrzeski";"Toruń";4769;3785;3758;27;27;19;0;8;0;45;12;25;8;0;0
"=""041705""";"gm. Ryńsk";"wąbrzeski";"Toruń";8610;6790;6785;5;5;5;0;0;0;56;15;41;0;0;0
"Powiat włocławski";"";"";"";85617;69766;69186;580;579;462;31;86;1;754;265;403;86;0;0
"=""041801""";"m. Kowal";"włocławski";"Włocławek";3416;2857;2828;29;28;22;4;2;1;36;15;19;2;0;0
"=""041802""";"gm. Baruchowo";"włocławski";"Włocławek";3466;2808;2785;23;23;20;0;3;0;44;26;15;3;0;0
"=""041803""";"gm. Boniewo";"włocławski";"Włocławek";3411;2783;2764;19;19;15;3;1;0;22;9;12;1;0;0
"=""041804""";"gm. Brześć Kujawski";"włocławski";"Włocławek";11114;9133;9069;64;64;57;0;7;0;68;11;50;7;0;0
"=""041805""";"gm. Choceń";"włocławski";"Włocławek";8064;6541;6456;85;85;68;8;9;0;87;59;19;9;0;0
"=""041806""";"gm. Chodecz";"włocławski";"Włocławek";5969;4961;4927;34;34;23;0;11;0;56;10;35;11;0;0
"=""041807""";"gm. Fabianki";"włocławski";"Włocławek";9823;7847;7783;64;64;51;0;13;0;84;17;54;13;0;0
"=""041808""";"gm. Izbica Kujawska";"włocławski";"Włocławek";7651;6134;6098;36;36;30;2;4;0;85;49;32;4;0;0
"=""041809""";"gm. Kowal";"włocławski";"Włocławek";3952;3253;3220;33;33;26;3;4;0;32;11;17;4;0;0
"=""041810""";"gm. Lubanie";"włocławski";"Włocławek";4552;3720;3690;30;30;18;1;11;0;38;4;23;11;0;0
"=""041811""";"gm. Lubień Kujawski";"włocławski";"Włocławek";7346;6043;5979;64;64;50;0;14;0;83;27;42;14;0;0
"=""041812""";"gm. Lubraniec";"włocławski";"Włocławek";9535;7827;7794;33;33;27;2;4;0;67;13;50;4;0;0
"=""041813""";"gm. Włocławek";"włocławski";"Włocławek";7318;5859;5793;66;66;55;8;3;0;52;14;35;3;0;0
"Powiat żniński";"";"";"";68736;55295;54914;381;380;213;2;165;1;662;225;272;165;0;0
"=""041901""";"gm. Barcin";"żniński";"Bydgoszcz";14058;11425;11301;124;124;45;0;79;0;177;56;42;79;0;0
"=""041902""";"gm. Gąsawa";"żniński";"Bydgoszcz";5219;4205;4172;33;33;33;0;0;0;34;10;24;0;0;0
"=""041903""";"gm. Janowiec Wielkopolski";"żniński";"Bydgoszcz";8924;7121;7078;43;42;16;0;26;1;121;55;40;26;0;0
"=""041904""";"gm. Łabiszyn";"żniński";"Bydgoszcz";9990;7879;7854;25;25;21;0;4;0;51;19;28;4;0;0
"=""041905""";"gm. Rogowo";"żniński";"Bydgoszcz";6791;5395;5361;34;34;28;1;5;0;67;26;36;5;0;0
"=""041906""";"gm. Żnin";"żniński";"Bydgoszcz";23754;19270;19148;122;122;70;1;51;0;212;59;102;51;0;0
"Miasto na prawach powiatu";"";"";""
"=""046101""";"m. Bydgoszcz";"Bydgoszcz";"Bydgoszcz";314567;261077;259716;1361;1348;831;156;361;13;3418;943;2114;361;0;0
"Miasto na prawach powiatu";"";"";""
"=""046201""";"m. Grudziądz";"Grudziądz";"Toruń";82783;68368;67840;528;525;209;3;313;3;1118;316;489;313;0;0
"Miasto na prawach powiatu";"";"";""
"=""046301""";"m. Toruń";"Toruń";"Toruń";180884;149340;148325;1015;1010;753;22;235;6;2209;470;1504;235;0;1
"Miasto na prawach powiatu";"";"";""
"=""046401""";"m. Włocławek";"Włocławek";"Włocławek";102637;86199;85765;434;433;285;3;145;1;1174;207;822;145;0;0
"Powiat bialski";"";"";"";111653;90036;88731;1305;1304;1121;51;132;1;1313;212;969;132;0;0
"=""060101""";"m. Międzyrzec Podlaski";"bialski";"Biała Podlaska";16525;13493;13390;103;103;89;1;13;0;206;22;171;13;0;0
"=""060102""";"m. Terespol";"bialski";"Biała Podlaska";5606;4619;4586;33;33;23;3;7;0;61;5;49;7;0;0
"=""060103""";"gm. Biała Podlaska";"bialski";"Biała Podlaska";14487;11352;11036;316;316;296;3;17;0;188;52;119;17;0;0
"=""060104""";"gm. Drelów";"bialski";"Biała Podlaska";5468;4330;4311;19;19;19;0;0;0;52;13;39;0;0;0
"=""060105""";"gm. Janów Podlaski";"bialski";"Biała Podlaska";5265;4231;4170;61;61;45;2;14;0;70;14;42;14;0;0
"=""060106""";"gm. Kodeń";"bialski";"Biała Podlaska";3620;2995;2900;95;95;84;7;4;0;49;12;33;4;0;0
"=""060107""";"gm. Konstantynów";"bialski";"Biała Podlaska";4199;3306;3210;96;96;81;12;3;0;57;17;37;3;0;0
"=""060108""";"gm. Leśna Podlaska";"bialski";"Biała Podlaska";4323;3488;3441;47;47;42;4;1;0;43;3;39;1;0;0
"=""060109""";"gm. Łomazy";"bialski";"Biała Podlaska";5044;4143;4088;55;55;49;0;6;0;52;4;42;6;0;0
"=""060110""";"gm. Międzyrzec Podlaski";"bialski";"Biała Podlaska";10425;8219;8165;54;54;45;4;5;0;85;15;65;5;0;0
"=""060111""";"gm. Piszczac";"bialski";"Biała Podlaska";7289;5870;5795;75;75;59;2;14;0;71;10;47;14;0;0
"=""060112""";"gm. Rokitno";"bialski";"Biała Podlaska";3027;2437;2392;45;45;34;0;11;0;48;3;34;11;0;0
"=""060113""";"gm. Rossosz";"bialski";"Biała Podlaska";2284;1876;1853;23;23;19;1;3;0;29;4;22;3;0;0
"=""060114""";"gm. Sławatycze";"bialski";"Biała Podlaska";2446;1978;1927;51;51;43;5;3;0;39;4;32;3;0;0
"=""060115""";"gm. Sosnówka";"bialski";"Biała Podlaska";2492;2068;2027;41;41;39;0;2;0;38;6;30;2;0;0
"=""060116""";"gm. Terespol";"bialski";"Biała Podlaska";6546;5349;5307;42;42;31;0;11;0;83;9;63;11;0;0
"=""060117""";"gm. Tuczna";"bialski";"Biała Podlaska";3112;2586;2561;25;25;21;3;1;0;35;5;29;1;0;0
"=""060118""";"gm. Wisznice";"bialski";"Biała Podlaska";5013;4137;4091;46;45;28;4;13;1;64;11;40;13;0;0
"=""060119""";"gm. Zalesie";"bialski";"Biała Podlaska";4482;3559;3481;78;78;74;0;4;0;43;3;36;4;0;0
"Powiat biłgorajski";"";"";"";102022;83312;82798;514;514;428;16;70;0;909;244;595;70;0;0
"=""060201""";"m. Biłgoraj";"biłgorajski";"Zamość";26108;21461;21290;171;171;117;10;44;0;323;38;241;44;0;0
"=""060202""";"gm. Aleksandrów";"biłgorajski";"Zamość";3325;2627;2618;9;9;9;0;0;0;16;13;3;0;0;0
"=""060203""";"gm. Biłgoraj";"biłgorajski";"Zamość";13486;10674;10649;25;25;20;3;2;0;104;41;61;2;0;0
"=""060204""";"gm. Biszcza";"biłgorajski";"Zamość";3906;3149;3121;28;28;28;0;0;0;21;10;11;0;0;0
"=""060205""";"gm. Frampol";"biłgorajski";"Zamość";6200;5132;5123;9;9;7;0;2;0;54;25;27;2;0;0
"=""060206""";"gm. Goraj";"biłgorajski";"Zamość";4181;3452;3436;16;16;15;0;1;0;28;10;17;1;0;0
"=""060207""";"gm. Józefów";"biłgorajski";"Zamość";6888;5802;5754;48;48;38;0;10;0;76;21;45;10;0;0
"=""060208""";"gm. Księżpol";"biłgorajski";"Zamość";6957;5549;5522;27;27;27;0;0;0;35;17;18;0;0;0
"=""060209""";"gm. Łukowa";"biłgorajski";"Zamość";4376;3527;3515;12;12;11;1;0;0;31;5;26;0;0;0
"=""060210""";"gm. Obsza";"biłgorajski";"Zamość";4330;3498;3479;19;19;19;0;0;0;19;6;13;0;0;0
"=""060211""";"gm. Potok Górny";"biłgorajski";"Zamość";5469;4584;4525;59;59;55;1;3;0;46;15;28;3;0;0
"=""060212""";"gm. Tarnogród";"biłgorajski";"Zamość";6657;5402;5381;21;21;19;0;2;0;66;17;47;2;0;0
"=""060213""";"gm. Tereszpol";"biłgorajski";"Zamość";3970;3222;3198;24;24;22;0;2;0;32;13;17;2;0;0
"=""060214""";"gm. Turobin";"biłgorajski";"Zamość";6169;5233;5187;46;46;41;1;4;0;58;13;41;4;0;0
"Powiat chełmski";"";"";"";78321;63703;62824;879;877;759;21;97;2;770;147;526;97;0;0
"=""060301""";"m. Rejowiec Fabryczny";"chełmski";"Chełm";4351;3623;3575;48;48;33;1;14;0;41;4;23;14;0;0
"=""060302""";"gm. Białopole";"chełmski";"Chełm";2962;2446;2425;21;21;18;1;2;0;31;1;28;2;0;0
"=""060303""";"gm. Chełm";"chełmski";"Chełm";14798;11709;11577;132;132;128;2;2;0;194;56;136;2;0;0
"=""060304""";"gm. Dorohusk";"chełmski";"Chełm";6377;5214;5125;89;89;64;3;22;0;63;7;34;22;0;0
"=""060305""";"gm. Dubienka";"chełmski";"Chełm";2389;2009;1962;47;47;43;3;1;0;17;4;12;1;0;0
"=""060306""";"gm. Kamień";"chełmski";"Chełm";4219;3356;3313;43;42;41;0;1;1;34;4;29;1;0;0
"=""060307""";"gm. Leśniowice";"chełmski";"Chełm";3735;3061;2989;72;72;58;2;12;0;40;4;24;12;0;0
"=""060308""";"gm. Rejowiec Fabryczny";"chełmski";"Chełm";4232;3470;3438;32;32;25;0;7;0;32;9;16;7;0;0
"=""060309""";"gm. Ruda-Huta";"chełmski";"Chełm";4498;3657;3615;42;42;41;0;1;0;32;10;21;1;0;0
"=""060310""";"gm. Sawin";"chełmski";"Chełm";5577;4527;4464;63;63;51;6;6;0;47;12;29;6;0;0
"=""060311""";"gm. Siedliszcze";"chełmski";"Chełm";6764;5474;5422;52;51;43;0;8;1;60;13;39;8;0;0
"=""060312""";"gm. Wierzbica";"chełmski";"Chełm";5152;4176;4085;91;91;73;0;18;0;65;7;40;18;0;0
"=""060313""";"gm. Wojsławice";"chełmski";"Chełm";3823;3212;3135;77;77;76;0;1;0;38;7;30;1;0;0
"=""060314""";"gm. Żmudź";"chełmski";"Chełm";3169;2579;2530;49;49;46;3;0;0;14;2;12;0;0;0
"=""060315""";"gm. Rejowiec";"chełmski";"Chełm";6275;5190;5169;21;21;19;0;2;0;62;7;53;2;0;0
"Powiat hrubieszowski";"";"";"";63443;53040;52751;289;289;240;5;44;0;612;84;484;44;0;0
"=""060401""";"m. Hrubieszów";"hrubieszowski";"Zamość";17232;14472;14417;55;55;42;3;10;0;202;30;162;10;0;0
"=""060402""";"gm. Dołhobyczów";"hrubieszowski";"Zamość";5499;4594;4571;23;23;17;0;6;0;63;4;53;6;0;0
"=""060403""";"gm. Horodło";"hrubieszowski";"Zamość";5203;4306;4250;56;56;48;0;8;0;66;8;50;8;0;0
"=""060404""";"gm. Hrubieszów";"hrubieszowski";"Zamość";10189;8378;8354;24;24;19;0;5;0;77;12;60;5;0;0
"=""060405""";"gm. Mircze";"hrubieszowski";"Zamość";7020;5980;5946;34;34;28;2;4;0;51;9;38;4;0;0
"=""060406""";"gm. Trzeszczany";"hrubieszowski";"Zamość";4174;3515;3502;13;13;13;0;0;0;38;5;33;0;0;0
"=""060407""";"gm. Uchanie";"hrubieszowski";"Zamość";4611;3869;3839;30;30;29;0;1;0;31;5;25;1;0;0
"=""060408""";"gm. Werbkowice";"hrubieszowski";"Zamość";9515;7926;7872;54;54;44;0;10;0;84;11;63;10;0;0
