"Kod TERYT";"Gmina";"Powiat";"Delegatura";"Liczba mieszkańców";"Liczba wyborców ogółem";"Liczba wyborców ujętych w stałym obwodzie w CRW z urzędu na podstawie adresu stałego zameldowania";"Liczba wyborców ujętych w stałym obwodzie w CRW na wniosek";"w tym liczba wyborców posiadających obywatelstwo krajów UE";"w tym liczba wyborców posiadających obywatelstwo UK";"Liczba osób pozbawionych prawa wybierania ogółem";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo krajów UE";"w tym liczba osób pozbawionych prawa wybierania posiadających obywatelstwo UK"
"=""040105""";"gm. Bądkowo";"aleksandrowski";"Włocławek";4133;3362;3351;11;0;0;3;0;0
"=""040106""";"gm. Koneck";"aleksandrowski";"Włocławek";3091;2540;2534;6;0;0;5;0;0
"=""040107""";"gm. Raciążek";"aleksandrowski";"Włocławek";3065;2499;2451;48;0;0;19;0;0
"=""040108""";"gm. Waganiec";"aleksandrowski";"Włocławek";4390;3540;3503;37;0;0;8;0;0
"=""040109""";"gm. Zakrzewo";"aleksandrowski";"Włocławek";3401;2741;2727;14;0;0;38;0;0
"Powiat brodnicki";"";"";"";75454;59705;59363;342;0;0;162;0;0
"=""040201""";"m. Brodnica";"brodnicki";"Toruń";25604;20782;20659;123;0;0;50;0;0
"=""040202""";"gm. Bobrowo";"brodnicki";"Toruń";6178;4859;4832;27;0;0;9;0;0
"=""040203""";"gm. Brodnica";"brodnicki";"Toruń";8972;6804;6794;10;0;0;18;0;0
"=""040204""";"gm. Brzozie";"brodnicki";"Toruń";3806;2934;2921;13;0;0;4;0;0
"=""040205""";"gm. Górzno";"brodnicki";"Toruń";3805;3001;2952;49;0;0;5;0;0
"=""040206""";"gm. Bartniczka";"brodnicki";"Toruń";4624;3556;3549;7;0;0;12;0;0
"=""040207""";"gm. Jabłonowo Pomorskie";"brodnicki";"Toruń";8561;6884;6857;27;0;0;25;0;0
"=""040208""";"gm. Osiek";"brodnicki";"Toruń";3887;3052;3039;13;0;0;10;0;0
"=""040209""";"gm. Świedziebnia";"brodnicki";"Toruń";5079;3985;3962;23;0;0;20;0;0
"=""040210""";"gm. Zbiczno";"brodnicki";"Toruń";4938;3848;3798;50;0;0;9;0;0
"Powiat bydgoski";"";"";"";118627;92719;91925;794;4;0;368;0;0
"=""040301""";"gm. Białe Błota";"bydgoski";"Bydgoszcz";23649;17943;17815;128;1;0;42;0;0
"=""040302""";"gm. Dąbrowa Chełmińska";"bydgoski";"Bydgoszcz";8368;6613;6566;47;0;0;18;0;0
"=""040303""";"gm. Dobrcz";"bydgoski";"Bydgoszcz";12126;9485;9332;153;1;0;35;0;0
"=""040304""";"gm. Koronowo";"bydgoski";"Bydgoszcz";22595;18020;17893;127;0;0;127;0;0
